time,ax,ay,az,aT
5.9080,6.7458,-2.7675,4.3498,8.490
5.9150,5.6926,-2.7454,3.8048,7.377
5.9250,4.8038,-3.0360,3.1568,6.501
5.9380,3.9420,-3.2605,2.6341,5.754
5.9450,3.0250,-3.5039,2.2467,5.145
5.9550,2.1607,-3.6890,1.9568,4.702
5.9680,1.2976,-3.9365,1.6965,4.479
5.9750,0.6359,-4.2685,1.5007,4.569
5.9860,0.0232,-4.5748,1.3027,4.757
5.9940,-0.3835,-4.9204,1.0445,5.045
6.0100,-0.7102,-5.3271,0.8501,5.441
6.0400,-0.9151,-5.8021,0.7566,5.922
6.0420,-1.2485,-6.2918,0.5405,6.437
6.0430,-1.4055,-6.6994,0.3715,6.855
6.0460,-1.6214,-7.0167,0.1599,7.203
6.0590,-1.7540,-7.5863,-0.1117,7.787
6.0670,-1.7471,-7.9396,-0.2557,8.134
6.0760,-1.8838,-8.2193,-0.5510,8.450
6.0890,-1.9630,-8.5484,-0.7077,8.799
6.0990,-2.0708,-8.8093,-0.8296,9.087
6.1080,-2.3881,-8.9808,-0.9943,9.346
6.1150,-2.8331,-8.9133,-0.9629,9.402
6.1250,-3.1338,-8.8703,-0.9424,9.455
6.1460,-3.2636,-8.8756,-0.9965,9.509
6.1950,-3.1473,-8.8864,-1.0408,9.485
6.1970,-3.0394,-9.0816,-1.0499,9.634
6.2000,-3.0791,-9.2095,-1.0399,9.766
6.2030,-3.0792,-9.1886,-0.9767,9.740
6.2050,-3.2503,-9.1772,-0.9899,9.786
6.2070,-3.3678,-9.1903,-1.0679,9.846
6.2090,-3.4468,-9.1416,-1.0925,9.831
6.2200,-3.5550,-9.2864,-1.1262,10.007
6.2280,-3.6883,-9.3225,-1.1198,10.088
6.2360,-3.9139,-9.3413,-1.0663,10.184
6.2520,-4.1030,-9.1942,-1.0412,10.122
6.2590,-4.3807,-9.1492,-1.0034,10.193
6.2680,-4.5467,-9.1819,-0.9670,10.292
6.2780,-4.5970,-9.3926,-0.9642,10.502
6.2870,-4.5134,-9.6412,-0.9547,10.688
6.2940,-4.4928,-9.9637,-1.0926,10.984
6.3100,-4.4739,-10.1525,-1.2206,11.161
6.3540,-4.5093,-10.2654,-1.2843,11.285
6.3560,-4.5983,-10.2093,-1.0505,11.246
6.3580,-4.7116,-9.8849,-0.8735,10.985
6.3590,-4.8288,-9.6802,-0.7668,10.845
6.3640,-4.4889,-9.3702,-0.7571,10.418
6.3960,-4.0452,-8.9701,-0.6445,9.861
6.3980,-3.4251,-8.8069,-0.6057,9.469
6.3990,-2.3495,-9.0080,-0.4626,9.321
6.4010,-1.2968,-9.2857,-0.0795,9.376
6.4520,-0.3268,-9.5202,0.2969,9.530
6.4530,0.5392,-9.8040,0.8564,9.856
6.4550,1.4100,-9.7857,1.3917,9.984
6.4560,2.4186,-9.4957,1.7902,9.961
6.4570,3.6497,-9.0960,2.0173,10.006
6.4600,4.8095,-8.4919,1.8656,9.936
6.4650,5.7464,-7.8128,1.6332,9.835
6.4770,6.1103,-6.7954,1.3949,9.244
6.4900,6.1429,-5.6505,1.2273,8.436
6.4970,5.8124,-4.4208,1.1916,7.399
6.5330,5.2445,-3.2232,1.1889,6.270
6.5350,4.6055,-2.1124,1.4499,5.270
6.5370,4.0130,-1.1567,1.7742,4.538
6.5380,3.4294,-0.3932,2.1356,4.059
6.5470,2.7670,0.3148,2.4599,3.716
6.5560,2.2012,0.7423,2.7534,3.602
6.5640,1.8379,1.2243,2.9086,3.652
6.5770,1.5715,1.5674,2.8818,3.638
6.6070,1.4929,1.7599,2.5021,3.404
6.6090,1.6358,1.7475,1.9884,3.112
6.6100,1.9033,1.7852,1.4981,3.009
6.6140,2.2270,1.8694,1.1126,3.113
6.6260,2.7013,1.6804,0.8038,3.281
6.6350,3.0314,1.4999,0.5712,3.430
6.6460,3.2258,1.3625,0.3411,3.518
6.6550,3.2941,1.2264,0.1434,3.518
6.6640,3.3995,1.1981,0.1650,3.608
6.6760,3.4244,1.1751,0.2436,3.629
6.6850,3.0728,1.3015,0.6022,3.391
6.6950,2.7649,1.5602,0.9630,3.318
6.7060,2.6761,1.9714,1.5065,3.649
6.7140,2.8090,2.1433,1.8883,4.006
6.7300,2.9903,2.2705,1.9801,4.245
6.7610,3.2724,2.3719,1.8820,4.458
6.7620,3.5209,2.5048,1.6814,4.637
6.7630,3.8262,2.7124,1.4670,4.914
6.7660,4.2605,2.8518,1.3185,5.294
6.7750,4.6738,3.0658,1.3290,5.745
6.7860,5.0838,3.3010,1.3227,6.204
6.7940,5.7104,3.4852,1.3427,6.823
6.8060,6.3279,3.7667,1.3655,7.490
6.8140,6.7768,4.1543,1.4733,8.084
6.8250,7.2890,4.4934,1.6187,8.714
6.8360,7.5474,4.8291,1.8301,9.145
