time,gFx,gFy,gFz,TgF
0.885000,-0.6611,-0.7073,0.2959,1.012
0.889000,-0.6533,-0.7080,0.2944,1.007
0.890000,-0.6501,-0.7073,0.2912,1.004
0.891000,-0.6445,-0.7063,0.2849,0.998
0.893000,-0.6406,-0.7058,0.2814,0.994
0.895000,-0.6369,-0.7061,0.2800,0.991
0.899000,-0.6325,-0.7044,0.2793,0.987
0.901000,-0.6323,-0.7034,0.2807,0.987
0.902000,-0.6308,-0.7022,0.2814,0.985
0.903000,-0.6259,-0.7000,0.2844,0.981
0.905000,-0.6230,-0.6985,0.2861,0.979
0.909000,-0.6215,-0.6995,0.2863,0.979
0.909000,-0.6184,-0.7022,0.2876,0.979
0.911000,-0.6135,-0.7061,0.2880,0.979
0.913000,-0.6103,-0.7078,0.2890,0.978
0.915000,-0.6049,-0.7110,0.2885,0.977
0.918000,-0.6003,-0.7144,0.2839,0.975
0.919000,-0.5988,-0.7146,0.2805,0.974
0.921000,-0.5966,-0.7149,0.2746,0.971
0.924000,-0.5995,-0.7149,0.2692,0.971
0.927000,-0.6025,-0.7144,0.2687,0.972
0.928000,-0.6140,-0.7097,0.2719,0.977
0.929000,-0.6193,-0.7073,0.2717,0.979
0.931000,-0.6242,-0.7066,0.2707,0.981
0.933000,-0.6308,-0.7053,0.2702,0.984
0.939000,-0.6333,-0.7073,0.2683,0.987
0.939000,-0.6337,-0.7102,0.2670,0.989
0.940000,-0.6333,-0.7180,0.2646,0.993
0.941000,-0.6296,-0.7263,0.2626,0.996
0.944000,-0.6306,-0.7293,0.2639,1.000
0.945000,-0.6355,-0.7342,0.2683,1.007
0.947000,-0.6333,-0.7366,0.2705,1.008
0.949000,-0.6328,-0.7356,0.2736,1.008
0.953000,-0.6350,-0.7334,0.2797,1.010
0.954000,-0.6364,-0.7329,0.2836,1.011
0.965000,-0.6384,-0.7329,0.2861,1.013
0.966000,-0.6450,-0.7298,0.2937,1.017
0.966000,-0.6489,-0.7268,0.3017,1.020
0.967000,-0.6526,-0.7254,0.3039,1.022
0.967000,-0.6650,-0.7212,0.3088,1.028
0.967000,-0.6767,-0.7195,0.3132,1.036
0.969000,-0.6816,-0.7180,0.3164,1.039
0.970000,-0.6855,-0.7146,0.3213,1.041
0.971000,-0.6887,-0.7107,0.3279,1.043
0.974000,-0.6917,-0.7066,0.3323,1.043
0.975000,-0.6951,-0.7002,0.3418,1.044
0.977000,-0.6929,-0.6914,0.3501,1.040
0.979000,-0.6895,-0.6887,0.3523,1.036
0.982000,-0.6865,-0.6846,0.3540,1.032
0.983000,-0.6833,-0.6799,0.3606,1.029
0.985000,-0.6821,-0.6785,0.3623,1.028
0.988000,-0.6836,-0.6758,0.3704,1.030
0.989000,-0.6851,-0.6765,0.3721,1.032
0.992000,-0.6838,-0.6770,0.3711,1.031
0.993000,-0.6763,-0.6782,0.3599,1.023
0.996000,-0.6672,-0.6807,0.3472,1.014
